
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 50.118 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Aelurodon	15.494	8.089	
Aelurodon_asthenostylus	18.635	13.723	
Aelurodon_ferox	21.902	6.69	
Aelurodon_mcgrewi	15.372	8.947	
Aelurodon_montanensis	13.838	13.838	
Aelurodon_stirtoni	17.553	10.762	
Aelurodon_taxoides	22.149	5.058	
Aelurodon_wheelerianus	16.949	16.949	
Alopex	3.183	3.183	
Alopex_lagopus	1.089	0.003	
Archaeocyon_falkenbachi	26.35	26.35	
Archaeocyon_leptodus	33.045	21.155	
Archaeocyon_pavidus	33.097	28.449	
Borophaginae	21.338	5.789	
Borophagus	17.161	1.852	
Borophagus_diversidens	4.842	2.056	
Borophagus_dudleyi	4.28	4.28	
Borophagus_hilli	22.67	2.777	
Borophagus_littoralis	20.891	9.761	
Borophagus_orc	9.848	3.654	
Borophagus_parvus	9.164	6.531	
Borophagus_pugnator	17.54	4.993	
Borophagus_secundus	21.739	4.924	
Caedocyon_tedfordi	25.557	25.557	
Canidae	36.319	0.037	
Caninae	25.564	0.068	
Canini	7.757	2.18	
Canis	16.972	0.003	
Canis_(Pseudalopex)	1.345	0.046	
Canis_adustus	3.565	0.004	extant
Canis_anthus	2.339	1.32	extant
Canis_apolloniensis	2.56	2.56	
Canis_armbrusteri	1.714	0.021	
Canis_aureus	2.687	0.002	extant
Canis_cedazoensis	0.945	0.945	
Canis_dirus	2.185	0.017	
Canis_edwardii	8.31	0.303	
Canis_familiaris	0.101	0.001	extant
Canis_ferox	9.452	1.86	
Canis_latrans	4.845	0.001	extant
Canis_lepophagus	5.52	0.096	
Canis_lupus	2.905	0.001	extant
Canis_mesomelas	5.224	0.002	extant
Canis_proplatensis	1.34	1.34	
Canis_rufus	3.554	0.072	extant
Canis_thooides	2.305	2.305	
Carpocyon	15.144	6.625	
Carpocyon_compressus	15.846	10.362	
Carpocyon_limosus	10.257	9.778	
Carpocyon_robustus	19.52	10.69	
Carpocyon_webbi	15.362	7.259	
Cerdocyon_avius	2.979	2.471	
Cerdocyon_texanus	8.094	3.252	
Cerdocyon_thous	0.126	0.005	
