
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 48.806 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Aelurodon	15.497	5.62	
Aelurodon_asthenostylus	19.823	14.121	
Aelurodon_ferox	19.509	6.507	
Aelurodon_mcgrewi	15.76	13.673	
Aelurodon_montanensis	15.042	15.042	
Aelurodon_stirtoni	15.014	9.119	
Aelurodon_taxoides	22.41	5.339	
Aelurodon_wheelerianus	17.157	17.157	
Alopex	3.638	3.638	
Alopex_lagopus	0.983	0.006	
Archaeocyon_falkenbachi	28.969	28.969	
Archaeocyon_leptodus	32.381	20.642	
Archaeocyon_pavidus	33.227	26.428	
Borophaginae	22.622	4.902	
Borophagus	10.912	2.29	
Borophagus_diversidens	4.664	1.956	
Borophagus_dudleyi	4.709	4.709	
Borophagus_hilli	15.682	1.801	
Borophagus_littoralis	22.353	10.958	
Borophagus_orc	7.566	3.866	
Borophagus_parvus	7.511	6.278	
Borophagus_pugnator	22.626	5.462	
Borophagus_secundus	19.295	4.939	
Caedocyon_tedfordi	24.589	24.589	
Canidae	35.965	0.021	
Caninae	25.2	0.063	
Canini	10.038	2.436	
Canis	17.862	0.001	
Canis_(Pseudalopex)	1.801	0.041	
Canis_adustus	3.16	0.001	extant
Canis_anthus	0.543	0.423	extant
Canis_apolloniensis	2.587	2.587	
Canis_armbrusteri	2.901	0.055	
Canis_aureus	2.727	0.002	extant
Canis_cedazoensis	0.573	0.573	
Canis_dirus	2.387	0.014	
Canis_edwardii	22.377	0.332	
Canis_familiaris	1.515	0.002	extant
Canis_ferox	9.809	1.891	
Canis_latrans	4.67	0.003	extant
Canis_lepophagus	6.336	0.113	
Canis_lupus	2.97	0.005	extant
Canis_mesomelas	4.513	0.001	extant
Canis_proplatensis	1.997	1.997	
Canis_rufus	4.882	0.118	extant
Canis_thooides	2.39	2.39	
Carpocyon	15.562	10.624	
Carpocyon_compressus	15.927	6.11	
Carpocyon_limosus	9.133	7.878	
Carpocyon_robustus	18.942	11.385	
Carpocyon_webbi	15.909	7.196	
Cerdocyon_avius	5.017	3.755	
Cerdocyon_texanus	8.468	2.982	
Cerdocyon_thous	0.092	0.008	
Chailicyon_crassidens	40.56	40.56	
Chrysocyon	0.163	0.163	
Chrysocyon_brachyurus	2.475	1.334	
Chrysocyon_nearcticus	4.667	1.925	
Cormocyon	27.882	27.882	
Cormocyon_copei	30.67	14.608	
Cormocyon_haydeni	24.889	22.0	
Cubacyon_transversidens	2.39	2.39	
Cuon	0.751	0.043	
Cuon_alpinus	0.506	0.064	
Cynarctoides_acridens	24.44	14.54	
Cynarctoides_emryi	19.232	16.576	
Cynarctoides_gawnae	19.309	11.565	
Cynarctoides_harlowi	21.117	21.117	
Cynarctoides_lemur	30.645	21.725	
Cynarctoides_luskensis	25.828	21.714	
Cynarctoides_roii	29.155	25.022	
Cynarctoides_whistleri	19.461	16.927	
Cynarctus	13.653	9.598	
Cynarctus_crucidens	22.915	7.077	
Cynarctus_galushai	14.996	13.944	
Cynarctus_marylandica	18.835	15.107	
Cynarctus_saxatilis	15.399	14.623	
